Pro_code,Pro_definition,HR,HR_Lower_CI,HR_Upper_CI,HR_p_val,p_val_fdr,p_val_bfi
AARSD1,Alanyl-tRNA editing protein Aarsd1,0.9705029457199449,1.542658393424532,2.2178373721041336,0.31433638885406545,0.4612579106253739,1.0
ABHD14B,Protein ABHD14B,0.9525151757675094,1.6045680303541074,2.308722431620376,0.10404522607132827,0.2159122918331252,1.0
ABL1,Tyrosine-protein kinase ABL1,0.9508589668742831,1.5567208508321793,2.2393223593009304,0.09505149901119164,0.20390079626594337,1.0
ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",0.9240930919548175,1.5809569109205956,2.276328233319048,0.009750818004313233,0.04919119565624228,1.0
ACAN,Aggrecan core protein,1.0553006405761545,1.5950644674202654,2.2999837026907843,0.09834825750072267,0.20943741007795819,1.0
ACE2,Angiotensin-converting enzyme 2,1.0542023972263113,1.5367137171873284,2.213390431750093,0.1093349397989146,0.2243436422521908,1.0
ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,0.9635493548372794,1.5779791474576264,2.2639767468024488,0.20298295185943674,0.3413054939141954,1.0
ACP5,Tartrate-resistant acid phosphatase type 5,1.067351455484384,1.526436686397445,2.1977427603597177,0.0370169276292098,0.11397238537757008,1.0
ACP6,Lysophosphatidic acid phosphatase type 6,1.0048129142960613,1.585861309831915,2.2710409521480783,0.8663957466904113,0.9151891533632287,1.0
ACTA2,"Actin, aortic smooth muscle",1.2020166665690244,1.5641033809602831,2.2510600705253263,2.2858122822622038e-08,1.7570160874432414e-06,3.344143368949604e-05
ACTN4,Alpha-actinin-4,1.0278994957770264,1.541987073065814,2.2284055743509867,0.35448013623634855,0.5041234070340064,1.0
ACVRL1,Serine/threonine-protein kinase receptor R3,1.1547448070891053,1.5556623365035116,2.2409560190247513,5.523080519948614e-06,0.00018791318141127492,0.008080266800684823
ACY1,Aminoacylase-1,0.8583759344508606,1.6622371812342551,2.393542358530943,7.260431587926584e-06,0.00023604469806970206,0.010622011413136593
ADA,Adenosine deaminase,0.9397358264549842,1.570783457648778,2.256253160268201,0.0368792140285766,0.11397238537757008,1.0
ADA2,Adenosine deaminase 2,1.0830267265556204,1.5811179003772902,2.2724613281167314,0.008521636345414526,0.04471010808826127,1.0
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,1.0702917059579262,1.5550813228849247,2.2362733307847367,0.02023008925881996,0.07755025836751894,1.0
ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,0.9896657112252905,1.5930529700012117,2.289532018495361,0.7225159575610927,0.824960305881709,1.0
ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,0.992542365554149,1.5463930232747205,2.2201924706452987,0.7961355931563205,0.8714004447102333,1.0
ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,1.0899156031434594,1.5724101474418557,2.2552808881187607,0.003959010816841959,0.027281329680371103,1.0
ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,1.0199949847113061,1.5657242759487278,2.2424218222686854,0.49321253734154025,0.6368666744313093,1.0
ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,1.0338189566328757,1.543511015436589,2.2211509232663724,0.31419634272866304,0.4612579106253739,1.0
ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,1.0295996143655461,1.5773904741138407,2.2706390637224882,0.36145467356110483,0.5099403928832174,1.0
ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,0.8807738110998817,1.5437153518690092,2.220751794008257,1.893325756026612e-05,0.0005326799194359487,0.027699355810669336
